Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_2_P	18.904875931462854	48.0	96.24638643733043	0.0	88613587.0
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_1_P	17.456619955285163	47.0	97.14775879849833	0.0	81538630.0
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_2_P	18.81409414246326	47.0	96.68331957502842	0.0	81538630.0
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_1_P	23.808642582340553	48.0	97.6268718015689	9.090909090909092	68640489.0
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_2_P	23.448617765260266	48.0	96.9981092063607	0.0	68640489.0
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_1_P	15.80899320695653	47.0	96.86030258287744	0.0	76339085.0
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_2_P	16.690457326953435	47.0	95.9108034632587	0.0	76339085.0
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_1_P	39.53019857889334	43.0	97.8054442243535	0.0	115952569.0
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_2_P	39.09515315816661	42.0	97.29262186506622	0.0	115952569.0
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_1_P	41.05444349643504	44.0	97.86991481034019	0.0	101549531.0
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_2_P	40.96734825219887	44.0	97.49536505491099	0.0	101549531.0
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_1_P	22.235251335053874	47.0	98.30786906724836	0.0	155861446.0
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_2_P	13.9558095760205	47.0	96.07819867140203	9.090909090909092	155861446.0
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1_P	21.50459556548975	47.0	98.26459640122773	0.0	160435659.0
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2_P	14.20123423298169	46.0	96.43954722060886	9.090909090909092	160435659.0
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_1_P	15.325282210590302	47.0	98.16754462490877	0.0	90281249.0
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_2_P	10.96019216932018	47.0	97.23476043181458	9.090909090909092	90281249.0
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_1_P	7.491438396460211	48.0	98.30944019327127	0.0	27734697.0
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_2_P	7.505029988319521	48.0	97.57518209050562	0.0	27734697.0
